,userId,rec_movieId,pre_ranting
0,1,1221,0.35489968767358204
1,1,595,0.313604150697953
2,1,1321,0.31296803981155857
3,1,590,0.31286252472211329
4,1,3702,0.30718592150779755
5,1,3396,0.27651920549447323
6,1,858,0.26905179877139296
7,1,1284,0.26036541490396192
8,1,3421,0.25807214982139681
9,1,1374,0.25774812039860429
10,1,3088,0.25423210132831037
11,1,3101,0.25327723968295279
12,1,5816,0.24899732915933748
13,1,318,0.24439079915764927
14,1,3157,0.23462499400064513
15,2,380,2.4918316179767643
16,2,597,2.3773484651625574
17,2,595,2.3044785713020888
18,2,329,2.189584827873901
19,2,440,2.1092835223049242
20,2,344,1.93787664331562
21,2,32,1.8344040737824585
22,2,34,1.8016025227287533
23,2,316,1.7989010932390077
24,2,151,1.7157358724883056
25,2,288,1.6777644490330221
26,2,434,1.6491065452679274
27,2,11,1.6430179930509088
28,2,282,1.5694952516670813
29,2,21,1.4786909904388548
30,3,2329,1.6270510601364259
31,3,2571,1.4651008383284925
32,3,1704,1.3864412618794255
33,3,47,1.2001127915130203
34,3,4878,1.1192431495196375
35,3,260,1.0675476937256136
36,3,480,1.0538947148289197
37,3,1073,1.0228772640187027
38,3,380,1.0121246149509302
39,3,5952,0.99499758306539754
40,3,1682,0.9653133872308024
41,3,1198,0.95331274291997592
42,3,2502,0.94651669128651039
43,3,293,0.93087935801364285
44,3,48516,0.88239826706906976
45,4,2324,1.6844885792629118
46,4,2011,1.4798330425262012
47,4,592,1.396844929303692
48,4,1094,1.3055725413050348
49,4,1617,1.2773860583264884
50,4,21,1.2384317957450883
51,4,1947,1.2236259831352974
52,4,6377,1.1485994642356123
53,4,899,1.1342570180268732
54,4,1732,1.1127227794639536
55,4,1227,1.1069777658840296
56,4,2167,1.0636171119345597
57,4,1101,1.0630760293444614
58,4,628,1.0400615895854801
59,4,8970,1.0345234139902562
60,5,1197,2.0882992896620749
61,5,539,2.0522514058303227
62,5,587,1.9737737926092094
63,5,1580,1.9260333307980431
64,5,4246,1.9246513007230308
65,5,1246,1.7730902136850182
66,5,590,1.7131135826802635
67,5,1028,1.6826799996672306
68,5,1265,1.6774763340442922
69,5,6539,1.5996104830536053
70,5,8528,1.5801842517991411
71,5,5989,1.5143360388690548
72,5,5218,1.5124349262974666
73,5,5991,1.4462217893394709
74,5,1073,1.4183992510440921
75,6,4993,1.933312535592586
76,6,1208,1.4699829626742498
77,6,5349,1.2557771187688904
78,6,1304,1.1382122352551414
79,6,608,1.0827543265261694
80,6,318,1.0733630410110915
81,6,4878,1.0480916424703874
82,6,6539,0.97817897785216279
83,6,1215,0.91441467702503831
84,6,8961,0.87839734961223326
85,6,6333,0.79956990476440337
86,6,541,0.77838606111099606
87,6,6377,0.74923053327394595
88,6,3949,0.74714131392280825
89,6,1682,0.74462822318915611
90,7,1200,1.9393410348784257
91,7,457,1.7479166099716088
92,7,1580,1.6783876849446298
93,7,349,1.5707175911828655
94,7,62,1.5191587868253624
95,7,1214,1.5078662524775375
96,7,32,1.4167502357635033
97,7,1282,1.4099357339270278
98,7,1259,1.4075995365218308
99,7,1127,1.3368665168183038
100,7,1356,1.2327408364985426
101,7,1246,1.2142627951523401
102,7,497,1.1760949706101362
103,7,2174,1.119306769609979
104,7,648,1.0990705619592935
105,8,2617,1.7997010877590252
106,8,6539,1.7903369207674396
107,8,1682,1.7718445113400862
108,8,1213,1.7559915129275405
109,8,3421,1.683939750458701
110,8,1240,1.5737392552941982
111,8,780,1.5646952427369742
112,8,1485,1.5200341929309831
113,8,5377,1.5034143603564893
114,8,4306,1.4721270462947029
115,8,5418,1.4622962252124816
116,8,1036,1.384791387071004
117,8,832,1.3591727049334832
118,8,8961,1.3078422069443878
119,8,44191,1.2953552234081926
120,9,1617,1.2844685401476283
121,9,356,1.2648272223583665
122,9,265,1.1150081141685726
123,9,32,1.078523633300345
124,9,1196,1.0674733481169492
125,9,1961,1.0669306598292412
126,9,1252,1.0382878329160032
127,9,2355,0.97648418757772371
128,9,588,0.94829780735817826
129,9,260,0.94419387994030946
130,9,110,0.91578446543595005
131,9,509,0.91533752173138028
132,9,3114,0.88942297526916636
133,9,2395,0.87754193725092167
134,9,671,0.86523926722042666
135,10,260,1.4393656773975658
136,10,589,1.1223498505462546
137,10,541,1.0245711778681279
138,10,1580,0.98327720018563303
139,10,750,0.94280199965069711
140,10,2502,0.91194643278673826
141,10,1097,0.87060020886443423
142,10,2115,0.86875898692494791
143,10,32,0.85213274399842454
144,10,2762,0.8430578438030687
145,10,47,0.83360695009894581
146,10,296,0.82593873630706338
147,10,2302,0.82424375789273374
148,10,1721,0.8199617700395827
149,10,2028,0.79620619888808919
150,11,99114,1.0346565662304053
151,11,80463,1.0111577306712993
152,11,58559,1.0023314447770824
153,11,2959,0.9408648735385019
154,11,4878,0.92837800601492582
155,11,74458,0.80985768394327118
156,11,68157,0.75666577456416961
157,11,1704,0.74669901510602088
158,11,1732,0.72625141747784361
